problem,BVNS shake=0 best_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 uglovi_init - time (s)
40.2,0.12,0.11,0.11,0.13,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.12
40.3,0.25,0.22,0.23,0.25,0.17,0.2,0.21,0.22,0.25,0.23,0.19,0.25,0.25,0.22,0.24,0.25,0.22,0.2,0.25,0.21,0.21,0.27,0.25,0.23,0.21,0.26,0.25,0.18,0.19,0.2,0.19,0.19,0.2,0.22,0.22,0.19
40.4,0.32,0.36,0.31,0.34,0.28,0.37,0.25,0.33,0.34,0.33,0.35,0.37,0.33,0.33,0.34,0.34,0.31,0.33,0.35,0.3,0.34,0.36,0.29,0.31,0.41,0.29,0.28,0.36,0.29,0.31,0.32,0.36,0.29,0.31,0.33,0.33
40.5,0.37,0.39,0.45,0.42,0.46,0.39,0.39,0.39,0.4,0.39,0.4,0.43,0.46,0.41,0.45,0.39,0.39,0.42,0.41,0.37,0.38,0.4,0.35,0.41,0.34,0.4,0.43,0.39,0.41,0.38,0.41,0.41,0.39,0.39,0.41,0.43
40.10,0.91,1.0,0.92,0.9,0.85,0.95,1.11,0.96,0.91,1.0,1.18,0.94,1.04,0.92,1.0,0.93,0.94,1.18,1.18,0.99,0.95,0.85,0.95,1.03,0.87,0.96,1.04,1.13,1.15,1.0,0.93,0.89,1.01,0.97,1.05,0.96
50.2,0.17,0.19,0.18,0.2,0.21,0.19,0.18,0.21,0.18,0.19,0.19,0.22,0.2,0.2,0.18,0.18,0.18,0.22,0.23,0.18,0.19,0.2,0.22,0.19,0.19,0.19,0.21,0.21,0.21,0.18,0.2,0.21,0.19,0.18,0.19,0.19
50.3,0.3,0.35,0.39,0.39,0.37,0.41,0.39,0.39,0.39,0.28,0.35,0.37,0.44,0.35,0.27,0.39,0.38,0.47,0.39,0.41,0.39,0.36,0.4,0.26,0.33,0.35,0.38,0.35,0.39,0.36,0.37,0.38,0.36,0.24,0.38,0.4
50.4,0.68,0.55,0.54,0.66,0.55,0.62,0.63,0.59,0.71,0.58,0.55,0.55,0.57,0.71,0.66,0.55,0.52,0.49,0.56,0.55,0.54,0.58,0.53,0.82,0.59,0.6,0.55,0.64,0.62,0.52,0.65,0.5,0.43,0.53,0.52,0.5
50.5,0.77,0.69,0.66,0.8,0.77,0.65,0.69,0.63,0.68,0.85,0.78,0.72,0.74,0.75,0.85,0.66,0.57,0.77,0.75,0.74,0.69,0.67,0.71,0.8,0.75,0.81,0.59,0.8,0.82,0.78,0.77,0.7,0.74,0.67,0.82,0.73
50.10,1.78,1.8,1.92,1.62,1.69,1.86,1.98,2.11,1.76,1.78,1.87,1.75,1.79,2.18,2.23,1.87,1.92,2.01,1.77,1.78,1.75,1.88,1.72,2.15,1.87,2.17,1.87,1.99,2.43,1.99,1.71,1.68,1.64,2.03,1.84,1.59
100.2,1.11,1.12,1.04,1.13,1.13,1.31,1.28,1.11,1.17,1.03,1.2,1.23,1.21,1.21,1.27,1.47,1.16,1.28,1.11,1.24,1.09,1.26,1.39,1.19,1.22,1.27,1.09,1.13,1.27,1.21,1.19,1.21,1.14,1.47,1.32,1.37
100.3,2.23,2.34,2.45,2.44,2.33,2.35,2.19,2.18,2.35,2.01,2.32,2.27,2.66,1.88,2.17,2.13,2.14,2.22,1.99,2.8,1.99,2.71,1.96,2.39,2.24,2.55,2.49,2.65,2.61,2.66,2.84,2.51,2.82,2.78,2.21,2.33
100.4,3.6,3.34,3.6,3.02,4.24,3.08,4.45,3.55,3.86,3.37,3.14,3.9,4.34,3.92,4.42,4.26,4.23,4.39,3.75,4.16,2.95,3.0,3.4,3.62,3.85,4.18,4.0,3.96,3.75,4.67,3.52,5.26,4.14,4.75,4.24,4.45
100.5,3.83,4.43,4.88,3.94,4.13,5.67,4.68,5.35,5.09,4.88,5.0,4.55,5.32,3.84,4.93,4.53,4.13,4.17,4.23,4.48,5.43,5.34,4.2,5.11,4.66,4.34,4.46,4.55,4.73,5.49,4.58,4.07,4.38,5.19,4.86,4.22
200.2,7.43,7.59,7.95,7.45,7.49,7.35,7.26,7.45,7.83,7.6,7.13,7.69,7.25,7.54,7.33,7.19,7.72,8.71,7.93,7.6,7.4,9.12,8.63,8.43,8.27,7.95,7.56,7.71,7.83,8.4,7.83,8.64,10.59,7.78,8.63,8.19
200.3,13.28,14.25,13.17,15.34,14.41,13.91,13.74,13.96,13.53,15.03,15.09,14.48,13.2,15.44,13.73,15.07,15.79,14.11,16.11,15.17,16.83,14.18,16.21,14.41,15.8,15.56,16.76,16.09,15.61,14.34,17.01,15.55,14.66,15.61,17.36,20.06
mean,1.3450000000000002,1.4021428571428574,1.4042857142857144,1.4150000000000003,1.4189285714285715,1.4267857142857143,1.4310714285714285,1.4314285714285713,1.4321428571428572,1.4360714285714287,1.4417857142857142,1.4421428571428572,1.4446428571428573,1.4474999999999998,1.4539285714285712,1.4600000000000002,1.4746428571428571,1.4864285714285714,1.4882142857142857,1.4882142857142857,1.491785714285714,1.4935714285714285,1.4939285714285717,1.4992857142857143,1.51,1.5192857142857144,1.5232142857142859,1.5289285714285714,1.535,1.5414285714285714,1.5421428571428568,1.5432142857142856,1.5578571428571428,1.563214285714286,1.6071428571428572,1.6635714285714285
