problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_divers_0_1 - solution,basic_VNS_divers_0_1 - deviation (%),basic_VNS_divers_0_1 - time (s),basic_VNS_divers_0_2 - solution,basic_VNS_divers_0_2 - deviation (%),basic_VNS_divers_0_2 - time (s),basic_VNS_divers_0_5 - solution,basic_VNS_divers_0_5 - deviation (%),basic_VNS_divers_0_5 - time (s),basic_VNS_divers_1 - solution,basic_VNS_divers_1 - deviation (%),basic_VNS_divers_1 - time (s)
10.2,163603.94,163603.94316823076,0.0,1.2563,163603.94316823076,0.0,1.788894,163603.94316823076,0.0,1.7655,163603.94316823076,0.0,1.802432,163603.94316823076,0.0,1.765529
10.3,131581.79,131581.786946515,0.0,1.873544,131581.786946515,0.0,2.767771,131581.786946515,0.0,2.750852,131581.786946515,0.0,2.726197,131581.786946515,0.0,2.698554
10.4,107354.73,107354.72987314493,0.0,2.310078,107354.72987314493,0.0,3.369119,107354.72987314493,0.0,3.301568,107354.72987314493,0.0,3.336138,107354.72987314493,0.0,3.329526
10.5,86028.88,86028.88433015873,0.0,2.494408,86028.88433015873,0.0,3.646938,86028.88433015873,0.0,3.601892,86028.88433015873,0.0,3.607755,86028.88433015873,0.0,3.612879
10.8,,54628.751329903804,,1.498665,54628.751329903804,,2.161297,54628.751329903804,,2.118025,54628.751329903804,,2.137132,54628.751329903804,,2.127787
