problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_divers_0_1 - solution,basic_VNS_divers_0_1 - deviation (%),basic_VNS_divers_0_1 - time (s),basic_VNS_divers_0_2 - solution,basic_VNS_divers_0_2 - deviation (%),basic_VNS_divers_0_2 - time (s),basic_VNS_divers_0_5 - solution,basic_VNS_divers_0_5 - deviation (%),basic_VNS_divers_0_5 - time (s),basic_VNS_divers_1 - solution,basic_VNS_divers_1 - deviation (%),basic_VNS_divers_1 - time (s)
10.2,163603.94,163603.94316823076,0.0,1.216512,163603.94316823076,0.0,1.751704,163603.94316823076,0.0,1.736409,163603.94316823076,0.0,1.709043,163603.94316823076,0.0,1.722045
10.3,131581.79,131581.786946515,0.0,1.83099,131581.786946515,0.0,2.639281,131581.786946515,0.0,2.633867,131581.786946515,0.0,2.693789,131581.786946515,0.0,2.66709
10.4,107354.73,107354.72987314493,0.0,2.264894,107354.72987314493,0.0,3.267147,107354.72987314493,0.0,3.353866,107354.72987314493,0.0,3.347787,107354.72987314493,0.0,3.300294
10.5,86028.88,86028.88433015873,0.0,2.370416,86028.88433015873,0.0,3.484362,86028.88433015873,0.0,3.514474,86028.88433015873,0.0,3.48597,86028.88433015873,0.0,3.486316
10.8,,54628.751329903804,,1.448624,54628.751329903804,,2.077249,54628.751329903804,,2.084314,54628.751329903804,,2.081558,54628.751329903804,,2.080689
