problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s)
10.2,163603.94,163603.94316823076,0.0,1.19012
10.3,131581.79,131581.786946515,0.0,1.835565
10.4,107354.73,107354.72987314493,0.0,2.234933
10.5,86028.88,86028.88433015873,0.0,2.426507
10.8,,54628.751329903804,,1.446451
15.2,,167236.84180780375,,4.466618
15.3,,147872.07474300812,,7.669399
15.4,,128607.69096199537,,10.426955
15.5,,111464.7271523484,,12.581077
15.8,,78050.10836156514,,15.25607
