problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),deterministic_VNS - solution,deterministic_VNS - deviation (%),deterministic_VNS - time (s)
10.2,163603.94,163603.9393516288,0.0,0.071801,163603.9393516288,0.0,0.032667
10.3,131581.79,131581.7826951448,0.0,0.096683,131581.7826951448,0.0,0.045557
10.4,107354.73,107354.7265872356,0.0,0.112508,107354.7265872356,0.0,0.053778
10.5,86028.88,86028.88187620931,0.0,0.120744,86028.88187620931,0.0,0.057362
10.8,,54628.749569641855,,0.077569,54628.749569641855,,0.035479
15.2,,167236.83618127473,,0.149328,167236.83618127473,,0.071832
15.3,,147872.06911446192,,0.215882,147872.06911446192,,0.10417
15.4,,128607.68472845631,,0.275094,128607.68472845631,,0.133666
15.5,,111464.7215877843,,0.326105,111464.7215877843,,0.158882
15.8,,78050.1039857115,,0.384597,78050.1039857115,,0.18922
20.2,168599.79,168599.7773367976,0.0,0.266561,168599.7773367976,0.0,0.129089
20.3,148048.3,148048.2905454758,0.0,0.401318,148048.2905454758,0.0,0.196808
20.4,131665.43,131665.42114923368,0.0,0.525525,131665.42114923368,0.0,0.256437
20.5,118934.97,118934.96628475966,0.0,0.651215,118934.96628475966,0.0,0.312884
20.8,,91454.8197419801,,0.902905,91454.8197419801,,0.450008
25.2,171298.1,171298.0828693258,0.0,0.423954,171298.0828693258,0.0,0.207937
25.3,151080.66,151080.65097345714,0.0,0.651266,153172.0889445721,1.3843,0.324858
25.4,135638.58,135638.56884586238,0.0,0.882133,136687.3867154988,0.7732,0.428448
25.5,120581.99,120581.98060344,0.0,1.089897,120581.98060344,0.0,0.553722
25.8,,97795.57899383023,,1.663015,97830.51896868262,,0.847633
